category,rule,annual_historical_eligible_families,planning_population_92_days,family_inclusion_probability,family_inclusion_probability_numerator,family_inclusion_probability_denominator,family_weight_raw,expected_sampled_families,expected_inferential_support
Sports,PR2_M_SCHEDULED_START_SINGLE_MILESTONE,64775,16326.849315068494,0.03828050274361083,9125,238372,26.122958904109588,625.0,True
Crypto,PR1_M_FIXED_CLOCK_SINGLE_EXACT,43889,11062.432876712328,0.056497517947945754,228125,4037788,17.699892602739727,624.9999999999999,True
Financials,PR1_M_FIXED_CLOCK_SINGLE_EXACT,2930,738.5205479452055,0.8462865410298264,45625,53912,1.1816328767123288,625.0,True
Climate and Weather,PR1_M_FIXED_CLOCK_SINGLE_EXACT,571,143.92328767123288,1.0,1,1,1.0,143.92328767123288,False
Commodities,PR1_M_FIXED_CLOCK_SINGLE_EXACT,1,0.25205479452054796,1.0,1,1,1.0,0.25205479452054796,False
